isDGA,length,digits,entropy,vowel-cons,ngrams
1,13,0,3.5465935642949384,0.3,968.0767288267289
1,25,10,3.8332696895151077,0.25,480.9461111111111
1,12,0,2.8553885422075336,0.09090909090909091,1036.337878787879
1,26,6,3.8441065448145375,0.05263157894736842,708.2902564102563
1,12,0,3.084962500721156,0.09090909090909091,897.5156565656566
1,25,7,4.163856189774723,0.2857142857142857,469.68277777777774
1,13,0,3.546593564294939,0.18181818181818182,764.3712121212121
1,27,7,3.958229168669879,0.1111111111111111,569.2198860398861
1,25,6,4.213660689688185,0.1875,578.5932125603864
1,13,0,3.0269868333592873,0.08333333333333333,997.5709013209013
1,26,0,3.8252517372886508,0.23809523809523808,819.2270085470086
1,10,0,2.9219280948873623,0.6666666666666666,1538.7629629629628
1,32,19,3.5664280318460246,0.3,391.16601702508956
1,25,12,4.053660689688185,0.4444444444444444,442.865
1,26,0,4.085055102756477,0.23809523809523808,770.1571367521369
1,25,9,4.023465189601646,0.45454545454545453,814.4685748792272
1,19,0,3.826874881864637,0.35714285714285715,801.370083705997
1,8,0,3.0,0.6,1358.3015873015872
1,8,0,2.4056390622295662,1.6666666666666667,1486.2698412698412
1,12,0,3.2516291673878226,0.3333333333333333,777.9419191919192
1,15,0,3.506890595608518,0.15384615384615385,729.9396825396825
1,12,0,2.9182958340544896,0.09090909090909091,646.188888888889
1,28,0,4.06610893983748,0.5555555555555556,1086.2271062271063
1,15,0,3.373557262275185,0.25,880.1251526251526
1,12,0,3.418295834054489,0.2,981.7510101010099
1,13,0,3.0269868333592873,0.18181818181818182,459.01787101787096
1,14,0,3.2359263506290334,0.16666666666666666,864.9340659340659
1,10,0,3.121928094887362,0.6666666666666666,1327.1194444444445
1,15,0,3.5068905956085183,0.36363636363636365,1217.688644688645
1,25,8,4.323856189774723,0.4166666666666667,463.3953381642512
1,25,11,3.783465189601646,0.16666666666666666,474.9945652173913
1,26,7,4.315824333525707,0.11764705882352941,625.0317948717949
1,10,0,2.7219280948873625,0.42857142857142855,983.9833333333332
1,16,0,3.202819531114783,0.06666666666666667,1111.911507936508
1,25,8,4.053660689688185,0.5454545454545454,887.5492512077294
1,8,0,2.1556390622295662,0.14285714285714285,1348.982142857143
1,24,4,3.9387218755408675,0.0,469.0936539306104
1,14,0,3.6644977792004623,0.16666666666666666,608.3211233211233
1,15,0,3.3735572622751855,0.07142857142857142,854.7642246642246
1,27,0,4.106377316818028,0.35,1054.8849952516618
1,27,9,3.8841550945958057,0.125,349.4920037986704
1,12,0,3.418295834054489,0.2,738.3494949494948
1,14,0,3.6644977792004623,0.2727272727272727,1031.0723443223444
1,21,0,3.748994803525096,0.10526315789473684,952.3355889724311
1,32,18,3.7150182662886326,0.2727272727272727,435.7938396057348
1,15,0,3.5068905956085183,0.36363636363636365,998.5555555555555
1,32,20,3.6556390622295662,0.7142857142857143,512.5511200716845
1,12,0,3.2516291673878226,0.5,993.8419191919191
1,26,5,4.103909910282362,0.4,732.8920512820513
1,32,15,3.715018266288633,0.4166666666666667,557.6519041218638
1,9,0,2.94770277922009,1.25,1550.9259259259259
1,32,23,3.753928031846024,0.8,431.5191980286738
1,12,0,3.0220552088742005,0.09090909090909091,699.5515151515151
1,32,18,3.6442475629608073,0.75,597.4759856630825
1,12,0,2.9182958340544896,0.09090909090909091,956.9191919191918
1,32,20,3.7539280318460246,0.5,475.45741487455206
1,32,14,3.5306390622295662,0.8,714.8750448028674
1,20,0,3.884183719779189,0.17647058823529413,847.7789473684211
1,13,0,3.085055102756477,0.08333333333333333,629.5194250194251
1,25,0,3.9434651896016457,0.25,969.6217149758454
1,13,0,3.0269868333592873,0.18181818181818182,884.8426573426573
1,14,0,3.3248629576173574,0.2727272727272727,1028.6822344322345
1,19,0,3.4713544870139286,0.46153846153846156,1060.7314528150441
1,25,4,4.0536606896881855,0.10526315789473684,591.473768115942
1,32,21,3.151210641914682,1.2,475.10887096774195
1,15,0,3.373557262275185,0.5,1259.7981684981685
1,13,0,3.238901256602631,0.18181818181818182,1135.847902097902
1,14,0,3.378783493486176,0.16666666666666666,1122.9398656898659
1,32,23,3.6442475629608078,0.8,381.6985887096774
